"city","city_ascii","state_id","state_name","county_fips","county_name","county_fips_all","county_name_all","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Eureka","Eureka","WI","Wisconsin","55139","Winnebago","55139","Winnebago","44.0073","-88.8426","560","211","polygon","FALSE","FALSE","America/Chicago","3","54963 54934","1840025389"
"Poplar","Poplar","WI","Wisconsin","55031","Douglas","55031","Douglas","46.5828","-91.7836","602","19","polygon","FALSE","TRUE","America/Chicago","3","54864","1840003912"
"Sturgeon Bay","Sturgeon Bay","WI","Wisconsin","55029","Door","55029","Door","44.8228","-87.3661","8405.0","350","polygon","FALSE","TRUE","America/Chicago","3","54235","1840003935"
"Tainter Lake","Tainter Lake","WI","Wisconsin","55033","Dunn","55033","Dunn","44.9882","-91.8437","2638","54","polygon","FALSE","FALSE","America/Chicago","3","54751 54730","1840004024"
"Abbotsford","Abbotsford","WI","Wisconsin","55019","Clark","55019|55073","Clark|Marathon","44.9433","-90.3163","3888.0","283","polygon","FALSE","TRUE","America/Chicago","3","54405 54421","1840002168"
"Harrison","Harrison","WI","Wisconsin","55015","Calumet","55015","Calumet","44.1935","-88.2941","9941","120","polygon","FALSE","TRUE","America/Chicago","3","54952 54169 54130 54915 54129","1840038103"
"Darien","Darien","WI","Wisconsin","55127","Walworth","55127","Walworth","42.6007","-88.7129","1594","477","polygon","FALSE","TRUE","America/Chicago","3","53114","1840002482"
"Glidden","Glidden","WI","Wisconsin","55003","Ashland","55003","Ashland","46.1346","-90.5721","380","67","polygon","FALSE","FALSE","America/Chicago","3","54527","1840026074"
"Sheldon","Sheldon","WI","Wisconsin","55107","Rusk","55107","Rusk","45.3119","-90.9567","218","127","polygon","FALSE","TRUE","America/Chicago","3","54766","1840002076"
"Kimberly","Kimberly","WI","Wisconsin","55087","Outagamie","55087","Outagamie","44.2670","-88.3377","6790","1145","polygon","FALSE","TRUE","America/Chicago","3","54136 54915","1840002404"
"Greenbush","Greenbush","WI","Wisconsin","55117","Sheboygan","55117","Sheboygan","43.7778","-88.0902","135","76","polygon","FALSE","FALSE","America/Chicago","3","53023","1840025423"
"Iola","Iola","WI","Wisconsin","55135","Waupaca","55135","Waupaca","44.5091","-89.1248","1243","287","polygon","FALSE","TRUE","America/Chicago","3","54945 54990","1840002356"
"Yuba","Yuba","WI","Wisconsin","55103","Richland","55103","Richland","43.5364","-90.4267","69","87","polygon","FALSE","TRUE","America/Chicago","3","54634","1840002816"
"North Fond du Lac","North Fond du Lac","WI","Wisconsin","55039","Fond du Lac","55039","Fond du Lac","43.8107","-88.4861","5070","922","polygon","FALSE","TRUE","America/Chicago","3","54937","1840002607"
"Allouez","Allouez","WI","Wisconsin","55009","Brown","55009","Brown","44.4721","-88.0261","13886","1175","polygon","FALSE","TRUE","America/Chicago","3","54307 54301 54324","1840002346"
"Dunbar","Dunbar","WI","Wisconsin","55075","Marinette","55075","Marinette","45.6471","-88.1754","74","26","polygon","FALSE","FALSE","America/Chicago","3","54119","1840026080"
"Auburndale","Auburndale","WI","Wisconsin","55141","Wood","55141","Wood","44.6266","-90.0144","671","125","polygon","FALSE","TRUE","America/Chicago","3","54412","1840002331"
